strategy_id,strategy_stage,shadow_mode,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_momentum_v1,LIVE,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,24,FILLED,325.76,325.82,1.76,0.75,1.95,0.0,-1.38,-3.33,99996.67,107816.35
core_momentum_v1,LIVE,False,NSE:NIFTY50-INDEX,EQUITY,LOW_VOLATILITY,SWING,BUY,30,FILLED,258.39,258.35,1.8,0.75,1.94,0.0,-114.32,-114.88,99881.79,100062.6
core_momentum_v1,LIVE,False,NSE:NIFTY50-INDEX,EQUITY,LOW_VOLATILITY,SWING,BUY,7,FILLED,259.99,259.94,1.82,0.75,0.46,0.0,-52.16,21.73,99943.49,98242.23
core_momentum_v1,LIVE,False,CRYPTO:ETHUSDT,CRYPTO,LOW_VOLATILITY,SWING,SELL,5,FILLED,350.0,350.07,1.79,0.75,0.44,0.0,-106.79,-55.2,99888.42,99991.81
core_momentum_v1,LIVE,False,NSE:BANKNIFTY-INDEX,EQUITY,LOW_VOLATILITY,SWING,BUY,8,FILLED,243.16,243.12,1.82,0.75,0.49,0.0,-132.91,-26.6,99861.82,98046.02
core_momentum_v1,LIVE,False,NSE:NIFTY50-INDEX,EQUITY,LOW_VOLATILITY,SWING,SELL,7,FILLED,256.23,256.28,1.88,0.75,0.45,-17.24,-113.04,38.36,99863.99,99839.2
core_momentum_v1,LIVE,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,325.87,325.93,1.84,0.75,0.49,0.0,-39.11,73.44,99937.44,101793.92
core_momentum_v1,LIVE,False,NSE:BANKNIFTY-INDEX,EQUITY,LOW_VOLATILITY,SWING,BUY,8,FILLED,248.09,248.04,1.85,0.75,0.5,0.0,110.79,29.51,100086.84,99808.71
core_momentum_v1,LIVE,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,322.56,322.62,1.83,0.75,0.48,0.0,13.94,-97.33,99989.51,101743.58
core_momentum_v1,LIVE,False,NSE:NIFTY50-INDEX,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,7,FILLED,255.41,255.46,1.86,0.75,0.45,-22.98,31.61,-108.49,99983.75,103531.02
core_momentum_v1,LIVE,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,6,FILLED,325.13,325.07,1.84,0.75,0.49,0.7,-85.09,-50.37,99867.26,101579.75
core_momentum_v1,LIVE,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,322.38,322.44,1.85,0.75,0.48,0.0,-119.29,-14.88,99832.57,103513.58
