strategy_id,strategy_stage,shadow_mode,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,898.0,897.84,1.74,0.75,0.45,0.0,-0.31,-0.76,99999.24,98203.56
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,901.91,901.75,1.76,0.75,0.45,0.0,7.19,5.27,100006.29,96399.29
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,900.15,899.99,1.76,0.75,0.45,0.0,-0.18,7.61,99998.47,94598.55
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,905.11,904.95,1.78,0.75,0.45,0.0,29.25,18.58,100027.45,92787.89
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,904.28,904.12,1.79,0.75,0.45,0.0,22.32,24.56,100020.06,90978.87
core_momentum_v1,PAPER_SHADOW,True,NSE:NIFTY50-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,3,FILLED,630.65,630.76,1.77,0.75,0.47,0.0,6.04,-29.4,100003.31,92870.35
core_momentum_v1,PAPER_SHADOW,True,NSE:NIFTY50-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,3,FILLED,627.92,628.03,1.77,0.75,0.47,0.0,-9.53,38.48,99987.27,94753.63
core_momentum_v1,PAPER_SHADOW,True,NSE:NIFTY50-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,3,FILLED,629.19,629.3,1.78,0.75,0.47,0.0,-26.11,-11.6,99970.22,96640.73
core_momentum_v1,PAPER_SHADOW,True,NSE:NIFTY50-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,3,FILLED,629.51,629.63,1.78,0.75,0.47,0.0,41.29,19.0,100037.15,98528.8
core_momentum_v1,PAPER_SHADOW,True,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,BUY,2,FILLED,908.62,908.45,1.81,0.75,0.45,0.0,47.21,25.8,100042.61,96711.11
core_momentum_v1,PAPER_SHADOW,True,NSE:NIFTY50-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,3,FILLED,630.64,630.75,1.77,0.75,0.47,0.0,85.71,38.03,100080.64,98602.55
