strategy_id,symbol,side,qty,status,price,confidence,pnl_pct,equity
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,13,FILLED,417.075,0.8500000000000001,0.2875,100287.55
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,13,FILLED,415.8233,0.8500000000000001,0.2697,100557.97
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,416.9845,0.8500000000000001,0.6759,101237.6
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,416.9459,0.8500000000000001,0.2942,101535.43
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,415.7044,0.8500000000000001,0.6957,102241.86
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,414.3466,0.8500000000000001,0.0586,102301.73
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,415.4399,0.8500000000000001,0.7088,103026.81
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,413.8646,0.8500000000000001,0.2819,103317.26
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,414.1672,0.8500000000000001,0.0941,103414.46
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,12,FILLED,414.8305,0.8500000000000001,0.626,104061.81
core_trend_follow_v1,NSE:RELIANCE-EQ,SELL,13,FILLED,414.5961,0.8500000000000001,0.1661,104234.67
core_trend_follow_v1,NSE:SBIN-EQ,SELL,7,FILLED,741.4225,0.8500000000000001,0.3652,104615.29
core_trend_follow_v1,NSE:SBIN-EQ,SELL,7,FILLED,743.9839,0.8500000000000001,0.3216,104951.69
