strategy_id,strategy_stage,shadow_mode,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_momentum_v1,PAPER,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,52,FILLED,127.92,127.94,1.72,0.75,1.66,0.0,-1.14,-2.81,99997.19,106650.17
core_momentum_v1,PAPER,False,NSE:HDFCBANK-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,27,FILLED,222.97,222.93,1.75,0.75,1.51,0.0,-10.46,-10.82,99986.37,100628.39
core_momentum_v1,PAPER,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,49,FILLED,128.27,128.29,1.73,0.75,1.57,0.0,-22.65,23.43,99972.61,106912.05
core_momentum_v1,PAPER,False,NSE:HDFCBANK-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,26,FILLED,223.88,223.84,1.75,0.75,1.46,0.0,-23.53,-44.09,99970.28,101089.74
core_momentum_v1,PAPER,False,NSE:HDFCBANK-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,26,FILLED,225.41,225.37,1.75,0.75,1.47,0.0,12.04,54.79,100004.39,95227.52
core_momentum_v1,PAPER,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,BUY,45,FILLED,128.93,128.91,1.75,0.75,1.45,-37.81,78.96,-5.66,100032.04,89424.21
core_momentum_v1,PAPER,False,NSE:HDFCBANK-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,9,FILLED,226.77,226.73,1.75,0.75,0.51,0.0,162.71,64.94,100115.28,87382.78
core_momentum_v1,PAPER,False,NSE:INFY-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,15,FILLED,342.61,342.55,1.78,0.75,1.28,0.0,365.73,-5.47,100317.02,82242.4
core_momentum_v1,PAPER,False,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,47,FILLED,128.21,128.23,1.75,0.75,1.51,0.0,359.34,-7.9,100309.12,88266.7
core_momentum_v1,PAPER,False,NSE:INFY-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,4,FILLED,346.02,345.96,1.81,0.75,0.35,0.0,413.41,-39.0,100362.84,86882.26
