strategy_id,strategy_stage,shadow_mode,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,37,FILLED,213.55,213.59,1.76,0.75,1.98,0.0,-1.39,-3.37,99996.63,107899.34
core_momentum_v1,PAPER,False,MCX:CRUDEOIL,EQUITY,MEAN_REVERSION,SWING,BUY,31,FILLED,252.68,252.63,1.76,0.75,1.96,0.0,19.37,-18.44,100015.44,100064.4
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,INTRADAY,SELL,37,FILLED,212.32,212.36,1.77,0.75,1.96,0.0,38.07,16.73,100032.17,107918.44
core_momentum_v1,PAPER,False,FX:EURINR,FOREX,MEAN_REVERSION,SWING,BUY,17,FILLED,468.27,468.19,1.76,0.75,1.99,0.0,-17.84,-57.9,99974.27,99955.87
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,INTRADAY,SELL,19,FILLED,212.7,212.74,1.77,0.75,1.01,0.0,-30.0,-13.17,99961.1,103996.18
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,INTRADAY,SELL,1,FILLED,212.58,212.62,1.76,0.75,0.05,0.0,-25.46,37.81,99965.59,104208.71
core_momentum_v1,PAPER,False,CRYPTO:ETHUSDT,CRYPTO,MEAN_REVERSION,SWING,SELL,4,FILLED,886.57,886.72,1.77,0.75,0.89,0.0,-101.74,-77.17,99888.42,107754.08
core_momentum_v1,PAPER,False,FX:EURINR,FOREX,MEAN_REVERSION,SWING,BUY,1,FILLED,468.89,468.81,1.76,0.75,0.12,0.0,-65.88,35.74,99924.16,107285.07
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,1,FILLED,209.43,209.47,1.78,0.75,0.05,0.0,83.89,36.28,100073.88,107494.45
core_momentum_v1,PAPER,False,NSE:BANKNIFTY-INDEX,EQUITY,MEAN_REVERSION,SWING,SELL,1,FILLED,208.44,208.48,1.78,0.75,0.05,0.0,165.42,58.97,100155.35,107702.84
