strategy_id,symbol,side,qty,status,price,confidence,pnl_pct,equity
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,22,FILLED,235.726,0.85,-0.0049,99995.1
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,22,FILLED,235.1368,0.85,0.0854,100080.5
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,22,FILLED,235.7028,0.85,-0.0318,100048.67
core_trend_follow_v1,NSE:INFY-EQ,BUY,11,FILLED,460.5781,0.85,0.1277,100176.43
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,18,FILLED,235.8984,0.85,0.1226,100299.25
core_trend_follow_v1,NSE:INFY-EQ,BUY,10,FILLED,460.676,0.85,0.0149,100314.19
core_trend_follow_v1,NSE:INFY-EQ,BUY,10,FILLED,461.5597,0.85,0.1577,100472.39
core_trend_follow_v1,NSE:SBIN-EQ,BUY,5,FILLED,1006.7007,0.85,0.0268,100499.32
core_trend_follow_v1,NSE:INFY-EQ,BUY,1,FILLED,461.7977,0.85,0.0293,100528.76
core_trend_follow_v1,NSE:INFY-EQ,BUY,1,FILLED,462.889,0.85,0.0883,100617.53
